isHome,shotType,situation,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,blockCoordinates,name,slug,shortName,position,jerseyNumber,userCount,firstName,lastName,x,y,z,home_team,away_team,match_url,goalType,fieldTranslations
False,miss,set-piece,left-foot,left,"{'x': 0, 'y': 64.4, 'z': 8.3}",2485710,90,6.0,5754,"{'start': {'x': 46.1, 'y': 7.5}, 'end': {'x': 35.6, 'y': 0}, 'goal': {'x': 35.6, 'y': 91.7}}",1,546,shot,,Alejandro Camargo,alejandro-camargo,A. Camargo,M,8,19,,,7.5,46.1,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,block,throw-in-set-piece,right-foot,low-left,"{'x': 0, 'y': 53, 'z': 19}",2485701,88,,5272,"{'start': {'x': 34.7, 'y': 15}, 'block': {'x': 36.8, 'y': 12.4}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 81}}",3,128,shot,"{'x': 12.4, 'y': 36.8, 'z': 0}",Luciano Cabral,luciano-cabral,L. Cabral,M,8,628,,,15.0,34.7,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,post,corner,head,left,"{'x': 0, 'y': 55.5, 'z': 17.1}",2485698,88,,5253,"{'start': {'x': 41.8, 'y': 8.8}, 'end': {'x': 44.5, 'y': 0}, 'goal': {'x': 44.5, 'y': 82.9}}",3,147,shot,,Alejandro Camargo,alejandro-camargo,A. Camargo,M,8,19,,,8.8,41.8,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,block,assisted,left-foot,low-centre,"{'x': 0, 'y': 51.5, 'z': 19}",2485696,88,,5224,"{'start': {'x': 58.8, 'y': 24.1}, 'block': {'x': 56.7, 'y': 19.2}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 81}}",3,176,shot,"{'x': 19.2, 'y': 56.7, 'z': 0}",Benjamín Chandía,benjamin-chandia,B. Chandía,M,30,56,Benjamín Chandía,,24.1,58.8,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,miss,assisted,right-foot,high-right,"{'x': 0, 'y': 41.5, 'z': 73.6}",2485693,77,,4615,"{'start': {'x': 49.6, 'y': 25.3}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 26.4}}",14,785,shot,,Gabriel Graciani,gabriel-graciani,G. Graciani,M,20,54,,,25.3,49.6,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,save,assisted,left-foot,low-centre,"{'x': 0, 'y': 51, 'z': 19.6}",2485689,72,,4312,"{'start': {'x': 39.2, 'y': 28.4}, 'block': {'x': 49.3, 'y': 2.4}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 80.4}}",19,1088,shot,"{'x': 2.4, 'y': 49.3, 'z': 0}",Iván Rozas,ivan-rozas,I. Rozas,M,10,19,,,28.4,39.2,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,miss,fast-break,left-foot,high,"{'x': 0, 'y': 50.6, 'z': 61.1}",2485688,65,,3864,"{'start': {'x': 68.8, 'y': 21.1}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 38.9}}",26,1536,shot,,Andrés Chávez,andres-chavez,A. Chávez,F,9,129,,,21.1,68.8,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,miss,assisted,left-foot,close-high,"{'x': 0, 'y': 48.6, 'z': 58.3}",2485687,64,,3804,"{'start': {'x': 23.7, 'y': 15}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 41.7}}",27,1596,shot,,Andrés Chávez,andres-chavez,A. Chávez,F,9,129,,,15.0,23.7,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,miss,assisted,right-foot,high-left,"{'x': 0, 'y': 61, 'z': 56.9}",2485717,63,,3733,"{'start': {'x': 43.1, 'y': 11.5}, 'end': {'x': 39, 'y': 0}, 'goal': {'x': 39, 'y': 43.1}}",28,1667,shot,,Luciano Cabral,luciano-cabral,L. Cabral,M,8,628,,,11.5,43.1,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,miss,regular,right-foot,left,"{'x': 0, 'y': 68.1, 'z': 9.7}",2485716,63,,3732,"{'start': {'x': 65.2, 'y': 23.7}, 'block': {'x': 47.3, 'y': 11.5}, 'end': {'x': 31.9, 'y': 0}, 'goal': {'x': 31.9, 'y': 90.3}}",28,1668,shot,"{'x': 11.5, 'y': 47.3, 'z': 0}",Alejandro Camargo,alejandro-camargo,A. Camargo,M,8,19,,,23.7,65.2,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,save,corner,head,low-centre,"{'x': 0, 'y': 50.3, 'z': 8.2}",2485684,61,,3600,"{'start': {'x': 59.1, 'y': 8.7}, 'block': {'x': 50.9, 'y': 0.099999999999994}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 91.8}}",30,1800,shot,"{'x': 0.099999999999994, 'y': 50.9, 'z': 0}",Gabriel Graciani,gabriel-graciani,G. Graciani,M,20,54,,,8.7,59.1,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,save,regular,right-foot,low-left,"{'x': 0, 'y': 52, 'z': 18.4}",2485681,56,,3306,"{'start': {'x': 59.1, 'y': 12.5}, 'block': {'x': 53.1, 'y': 1.5}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 81.6}}",35,2094,shot,"{'x': 1.5, 'y': 53.1, 'z': 0}",Patricio Rubio,patricio-rubio,P. Rubio,F,12,200,,,12.5,59.1,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,block,corner,right-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 19}",2485677,47,,2796,"{'start': {'x': 32.5, 'y': 3}, 'block': {'x': 36.6, 'y': 2.3}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 81}}",44,2604,shot,"{'x': 2.3, 'y': 36.6, 'z': 0}",Bayron Oyarzo,bayron-oyarzo,B. Oyarzo,M,7,78,,,3.0,32.5,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,miss,corner,head,left,"{'x': 0, 'y': 84.4, 'z': 5.6}",2485676,47,,2792,"{'start': {'x': 56.2, 'y': 5}, 'block': {'x': 33.2, 'y': 1.9}, 'end': {'x': 15.6, 'y': 0}, 'goal': {'x': 15.6, 'y': 94.4}}",44,2608,shot,"{'x': 1.9, 'y': 33.2, 'z': 0}",Bernardo Cerezo,bernardo-cerezo,B. Cerezo,D,18,24,,,5.0,56.2,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,block,set-piece,left-foot,low-right,"{'x': 0, 'y': 47, 'z': 19}",2485673,46,,2758,"{'start': {'x': 47.5, 'y': 21.4}, 'block': {'x': 48.9, 'y': 15.9}, 'end': {'x': 53, 'y': 0}, 'goal': {'x': 53, 'y': 81}}",45,2642,shot,"{'x': 15.9, 'y': 48.9, 'z': 0}",Manuel Rivera,manuel-rivera,M. Rivera,M,28,17,,,21.4,47.5,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,save,regular,right-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 19.6}",2485660,31,,1855,"{'start': {'x': 38.3, 'y': 8}, 'block': {'x': 42.6, 'y': 4.5}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 80.4}}",15,845,shot,"{'x': 4.5, 'y': 42.6, 'z': 0}",Patricio Rubio,patricio-rubio,P. Rubio,F,12,200,,,8.0,38.3,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,save,assisted,left-foot,low-right,"{'x': 0, 'y': 46, 'z': 3.8}",2485653,20,,1159,"{'start': {'x': 67.8, 'y': 10.4}, 'block': {'x': 53.4, 'y': 1.2}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 96.2}}",26,1541,shot,"{'x': 1.2, 'y': 53.4, 'z': 0}",Dylan Escobar,dylan-escobar,D. Escobar,D,5,32,,,10.4,67.8,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,save,assisted,right-foot,low-left,"{'x': 0, 'y': 54.8, 'z': 3.2}",2485651,18,,1078,"{'start': {'x': 28.3, 'y': 13.2}, 'block': {'x': 46.6, 'y': 1.4}, 'end': {'x': 45.2, 'y': 0}, 'goal': {'x': 45.2, 'y': 96.8}}",28,1622,shot,"{'x': 1.4, 'y': 46.6, 'z': 0}",Matías Alvarado,matias-alvarado,M. Alvarado,F,24,8,Matías Alvarado,,13.2,28.3,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,miss,corner,head,close-high-right,"{'x': 0, 'y': 43.5, 'z': 56.9}",2485644,10,,548,"{'start': {'x': 62.1, 'y': 1.9}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 43.1}}",36,2152,shot,,Patricio Rubio,patricio-rubio,P. Rubio,F,12,200,,,1.9,62.1,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
True,save,assisted,left-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 18.4}",2485640,7,,374,"{'start': {'x': 71.1, 'y': 20.7}, 'block': {'x': 51.4, 'y': 1.9}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 81.6}}",39,2326,shot,"{'x': 1.9, 'y': 51.4, 'z': 0}",Bayron Oyarzo,bayron-oyarzo,B. Oyarzo,M,7,78,,,20.7,71.1,0.0,Ñublense,Coquimbo Unido,https://www.sofascore.com/football/match/nublense-coquimbo-unido/pnbsEPc#id:11986407,,
False,miss,fast-break,right-foot,left,"{'x': 0, 'y': 63, 'z': 4.2}",2490341,90,6.0,5722,"{'start': {'x': 71, 'y': 9.9}, 'end': {'x': 37, 'y': 0}, 'goal': {'x': 37, 'y': 95.8}}",1,578,shot,,Lucas Cepeda,lucas-cepeda,L. Cepeda,M,32,732,Lucas Cepeda,,9.9,71.0,0.0,Unión Española,Colo Colo,https://www.sofascore.com/football/match/colo-colo-union-espanola/dnbsfnb#id:11986403,,
False,miss,corner,right-foot,close-right,"{'x': 0, 'y': 42.2, 'z': 8.3}",2490351,88,,5253,"{'start': {'x': 66.5, 'y': 2.2}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 91.7}}",3,147,shot,,César Fuentes,cesar-fuentes,C. Fuentes,M,6,99,,,2.2,66.5,0.0,Unión Española,Colo Colo,https://www.sofascore.com/football/match/colo-colo-union-espanola/dnbsfnb#id:11986403,,
True,block,set-piece,head,low-centre,"{'x': 0, 'y': 49.6, 'z': 19}",2490350,87,,5202,"{'start': {'x': 59.8, 'y': 8.2}, 'block': {'x': 55.4, 'y': 4.4}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 81}}",4,198,shot,"{'x': 4.4, 'y': 55.4, 'z': 0}",Jonathan Villagra,jonathan-villagra,J. Villagra,D,2,150,,,8.2,59.8,0.0,Unión Española,Colo Colo,https://www.sofascore.com/football/match/colo-colo-union-espanola/dnbsfnb#id:11986403,,
